zil-additional-service  | 
zil-additional-service  | 2026-05-04T14:42:22.266Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=649 sumNanos=194503032772 avgNanos=299696506
zil-additional-service  | 2026-05-04T14:42:22.267Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.availability_new count=610 sumNanos=347845987559 avgNanos=570239323
zil-additional-service  | 2026-05-04T14:42:22.268Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.availability.allCitiesAllDates count=610 sumNanos=502858643 avgNanos=824358
zil-additional-service  | 2026-05-04T14:42:27.274Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=18 sumNanos=51864 avgNanos=2881
zil-additional-service  | 2026-05-04T14:42:27.287Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=18 sumNanos=9853390949 avgNanos=547410608
zil-additional-service  | 2026-05-04T14:42:27.293Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=20 sumNanos=3901354953 avgNanos=195067747
zil-additional-service  | 2026-05-04T14:42:27.293Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=458 sumNanos=78275800345 avgNanos=170907861
zil-additional-service  | 2026-05-04T14:42:27.295Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=455 sumNanos=75493954215 avgNanos=165920778
zil-additional-service  | 2026-05-04T14:42:27.296Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.availability_new count=440 sumNanos=148464430631 avgNanos=337419160
zil-additional-service  | 2026-05-04T14:42:27.297Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.availability.allCitiesAllDates count=440 sumNanos=201662759 avgNanos=458324
zil-additional-service  | 2026-05-04T14:42:27.306Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=41 sumNanos=152359 avgNanos=3716
zil-additional-service  | 2026-05-04T14:42:27.306Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=41 sumNanos=31932291595 avgNanos=778836380
zil-additional-service  | 2026-05-04T14:42:27.306Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=43 sumNanos=10795331680 avgNanos=251054225
zil-additional-service  | 2026-05-04T14:42:27.306Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=872 sumNanos=210854431640 avgNanos=241805540
zil-additional-service  | 2026-05-04T14:42:27.306Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=879 sumNanos=232168171469 avgNanos=264127612
zil-additional-service  | 2026-05-04T14:42:27.306Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.availability_new count=831 sumNanos=421959120507 avgNanos=507772708
zil-additional-service  | 2026-05-04T14:42:27.307Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.availability.allCitiesAllDates count=831 sumNanos=634375961 avgNanos=763388
zil-additional-service  | 2026-05-04T14:42:27.307Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=41 sumNanos=152359 avgNanos=3716
zil-additional-service  | 2026-05-04T14:42:27.307Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=41 sumNanos=31932291595 avgNanos=778836380
zil-additional-service  | 2026-05-04T14:42:27.307Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=43 sumNanos=10795331680 avgNanos=251054225
zil-additional-service  | 2026-05-04T14:42:27.307Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=872 sumNanos=210854431640 avgNanos=241805540
zil-additional-service  | 2026-05-04T14:42:27.307Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=879 sumNanos=232168171469 avgNanos=264127612
zil-additional-service  | 2026-05-04T14:42:27.308Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.availability_new count=831 sumNanos=421959120507 avgNanos=507772708
zil-additional-service  | 2026-05-04T14:42:27.308Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.availability.allCitiesAllDates count=831 sumNanos=634375961 avgNanos=763388
zil-additional-service  | 2026-05-04T14:42:32.310Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=18 sumNanos=48891 avgNanos=2716
zil-additional-service  | 2026-05-04T14:42:32.316Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=18 sumNanos=9708308179 avgNanos=539350454
